"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 12, 2012","79.723","79.860","79.990","79.500","35.30K","-0.14%"
"Sep 11, 2012","79.836","80.360","80.370","79.765","20.18K","-0.63%"
"Sep 10, 2012","80.343","80.185","80.400","80.170","20.65K","0.14%"
"Sep 07, 2012","80.234","81.120","81.140","80.140","28.23K","-0.99%"
"Sep 06, 2012","81.033","81.255","81.455","81.005","24.21K","-0.25%"
"Sep 05, 2012","81.235","81.490","81.675","81.115","19.88K","-0.10%"
"Sep 04, 2012","81.316","81.235","81.395","81.055","12.61K","0.12%"
"Sep 03, 2012","81.216","81.210","81.325","81.120","4.73K","0.00%"
"Aug 31, 2012","81.216","81.700","81.740","80.960","24.48K","-0.61%"
"Aug 30, 2012","81.713","81.570","81.780","81.410","12.38K","0.18%"
"Aug 29, 2012","81.564","81.365","81.605","81.350","11.04K","0.22%"
"Aug 28, 2012","81.381","81.700","81.840","81.275","12.83K","-0.38%"
"Aug 27, 2012","81.691","81.615","81.730","81.505","9.52K","0.11%"
"Aug 24, 2012","81.603","81.390","81.750","81.365","15.49K","0.30%"
"Aug 23, 2012","81.359","81.480","81.535","81.220","22.21K","-0.17%"
"Aug 22, 2012","81.497","81.900","82.135","81.470","26.96K","-0.52%"
"Aug 21, 2012","81.920","82.485","82.510","81.805","27.41K","-0.70%"
"Aug 20, 2012","82.500","82.560","82.765","82.435","11.08K","-0.20%"
"Aug 17, 2012","82.663","82.445","82.825","82.380","15.87K","0.30%"
"Aug 16, 2012","82.417","82.695","82.960","82.375","19.64K","-0.36%"
"Aug 15, 2012","82.711","82.595","82.845","82.510","12.11K","0.22%"
"Aug 14, 2012","82.527","82.525","82.615","82.250","15.66K","0.05%"
"Aug 13, 2012","82.486","82.640","82.765","82.285","13.10K","-0.18%"
"Aug 10, 2012","82.631","82.700","82.945","82.500","16.66K","-0.10%"
"Aug 09, 2012","82.710","82.355","82.865","82.270","17.79K","0.33%"
"Aug 08, 2012","82.439","82.375","82.570","82.295","15.85K","0.23%"
"Aug 07, 2012","82.250","82.330","82.425","82.065","16.55K","-0.07%"
"Aug 06, 2012","82.304","82.405","82.625","82.125","15.13K","-0.17%"
"Aug 03, 2012","82.446","83.430","83.470","82.360","24.43K","-1.20%"
"Aug 02, 2012","83.451","83.170","83.610","82.225","37.92K","0.33%"
"Aug 01, 2012","83.178","82.780","83.270","82.540","20.04K","0.57%"
"Jul 31, 2012","82.710","82.865","82.935","82.560","14.74K","-0.19%"
"Jul 30, 2012","82.868","82.755","83.045","82.730","13.97K","0.12%"
"Jul 27, 2012","82.765","82.930","83.065","82.400","34.35K","-0.11%"
"Jul 26, 2012","82.859","83.755","83.850","82.660","35.68K","-0.93%"
"Jul 25, 2012","83.641","84.135","84.175","83.625","18.75K","-0.60%"
"Jul 24, 2012","84.145","83.835","84.245","83.760","18.64K","0.39%"
"Jul 23, 2012","83.815","83.750","84.140","83.720","22.95K","0.29%"
"Jul 20, 2012","83.573","83.015","83.665","82.975","22.20K","0.71%"
"Jul 19, 2012","82.980","83.105","83.255","82.800","18.93K","-0.26%"
"Jul 18, 2012","83.196","83.120","83.460","83.045","14.57K","0.03%"
"Jul 17, 2012","83.168","83.260","83.690","83.030","19.75K","-0.06%"
"Jul 16, 2012","83.218","83.400","83.770","83.130","15.63K","-0.31%"
"Jul 13, 2012","83.474","83.855","83.935","83.380","23.23K","-0.40%"
"Jul 12, 2012","83.809","83.600","83.985","83.580","18.84K","0.10%"
"Jul 11, 2012","83.728","83.540","83.760","83.250","19.05K","0.20%"
"Jul 10, 2012","83.559","83.305","83.650","83.135","18.93K","0.25%"
"Jul 09, 2012","83.351","83.560","83.630","83.265","23.71K","-0.25%"
"Jul 06, 2012","83.561","82.910","83.605","82.885","30.58K","0.75%"
"Jul 05, 2012","82.942","82.340","83.085","82.180","27.61K","1.31%"
"Jul 04, 2012","81.872","81.915","82.370","81.895","4.86K","0.00%"
"Jul 03, 2012","81.872","82.025","82.145","81.815","14.99K","-0.17%"
"Jul 02, 2012","82.008","81.730","82.095","81.655","17.07K","0.31%"
"Jun 29, 2012","81.753","82.885","82.905","81.560","40.49K","-1.51%"
"Jun 28, 2012","83.007","82.755","83.070","82.410","31.16K","0.24%"
"Jun 27, 2012","82.810","82.585","82.905","82.470","19.50K","0.33%"
"Jun 26, 2012","82.539","82.650","82.865","82.430","25.70K","-0.15%"
"Jun 25, 2012","82.662","82.490","82.825","82.460","18.42K","0.27%"
"Jun 22, 2012","82.442","82.490","82.670","82.340","22.11K","-0.06%"
"Jun 21, 2012","82.488","81.690","82.615","81.660","29.68K","0.92%"
"Jun 20, 2012","81.734","81.650","81.960","81.405","42.48K","0.18%"
"Jun 19, 2012","81.586","82.110","82.280","81.390","34.98K","-0.33%"
"Jun 18, 2012","81.854","81.235","81.915","81.225","0.11K","0.31%"
"Jun 15, 2012","81.605","81.905","81.935","81.255","12.98K","-0.47%"
"Jun 14, 2012","81.988","82.125","82.295","81.805","29.76K","-0.08%"
"Jun 13, 2012","82.057","82.445","82.590","81.920","44.60K","-0.48%"
"Jun 12, 2012","82.449","82.630","82.755","82.350","41.58K","-0.12%"
"Jun 11, 2012","82.548","82.000","82.650","81.720","30.96K","-0.02%"
"Jun 08, 2012","82.562","82.280","82.945","82.270","30.05K","0.56%"
"Jun 07, 2012","82.106","82.250","82.455","81.960","27.25K","-0.33%"
"Jun 06, 2012","82.379","82.820","82.905","82.170","33.40K","-0.64%"
"Jun 05, 2012","82.913","82.495","83.035","82.400","28.85K","0.30%"
"Jun 04, 2012","82.661","82.885","83.150","82.545","26.98K","-0.38%"
"Jun 01, 2012","82.973","83.210","83.670","82.700","57.68K","-0.19%"
"May 31, 2012","83.129","83.130","83.295","82.805","31.36K","0.05%"
"May 30, 2012","83.086","82.605","83.175","82.570","28.93K","0.61%"
"May 29, 2012","82.581","82.415","82.710","82.130","25.45K","0.07%"
